p1,Inviting,Desirable,Familiar,Satisfying,Confusing,Useful,Effective,Flexible,Helpful,Convenient,Friendly,High quality,Fast,Easy to use,Comfortable,Organized,Straight Forward,Comprehensive,Clean,Relevant,p1
p3,Easy to use,High quality,Helpful,Efficient,Organized,Simplistic,Rigid,Straight Forward,Intimidating,Approachable,Complex,Useful,Professional,Overwhelming,Consistent,Relevant,Advanced,Collaborative,Time-consuming,Busy,Essential
p5,Time-consuming,Annoying,Unrefined,Rigid,Stressful,Collaborative,Difficult,Overwhelming,Unconventional,Confusing,Inconsistent,Complex,Unpredictable,Busy,,,,,,,
p7,Rigid,Easy to use,Predictable,Engaging,Organized,Effective,Professional,,,,,,,,,,,,,,
p11,Easy to use,Organized,Creative,Helpful,Time-consuming,Consistent,Comprehensive,Powerful,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Participants counted:,,,,,,,,,,,,,,,,,,,,,
1,3,5,7,11,,,,,,,,,,,,,,,,,
Participants discarded:,,,,,,,,,,,,,,,,,,,,,
9,,,,,,,,,,,,,,,,,,,,,
